num_points,train_set_size,best_test_acc,best_epoch,final_train_acc,final_test_acc
1024,1000,64.5462,188,81.5,63.1686
1024,800,61.5073,189,87.5,60.1702
1024,600,56.5235,158,89.3333,55.9968
1024,400,54.7407,193,90.25,53.5656
1024,200,48.5413,167,92.5,46.799
512,1000,63.1686,197,78.4,62.3177
512,800,61.9125,155,84.0,61.0211
512,600,58.671,194,89.6667,57.0908
512,400,54.376,200,89.75,54.376
512,200,42.0178,180,85.0,40.6402
256,1000,62.7229,176,78.7,61.1831
256,800,60.6564,191,82.5,58.9951
256,600,58.1848,184,83.6667,56.7261
256,400,55.2674,197,85.75,54.0113
256,200,48.1767,182,87.0,46.2318
128,1000,61.5073,174,73.9,59.9676
128,800,59.1977,172,79.5,57.9011
128,600,57.6175,177,80.8333,55.3485
128,400,53.7277,193,83.0,52.0665
128,200,46.1507,148,87.0,44.6921
64,1000,62.4392,178,71.2,61.1426
64,800,58.7115,190,70.75,57.8606
64,600,54.5381,155,70.0,53.5656
64,400,52.0259,162,76.5,49.8784
64,200,44.2058,171,76.0,42.3825
